employee_id,first_name,last_name,department,pay_rate,hire_date,status,email
EMP00090,Charles,Williams,Infrastructure,47.5,2017-02-17,Inactive,emp00090@mta-corp.org
EMP00091,Edward,Baker,Infrastructure,81.03,2024-01-17,On Leave,emp00091@mta-corp.org
EMP00092,Joseph,White,IT,23.15,2022-07-09,On Leave,emp00092@mta-corp.org
EMP00093,Amanda,Lee,Scheduling,74.89,2018-09-14,On Leave,emp00093@mta-corp.org
EMP00094,Steven,Martin,Scheduling,45.66,2018-05-15,Active,emp00094@mta-corp.org
EMP00095,Christopher,Scott,Rail,31.26,2022-10-26,On Leave,emp00095@mta-corp.org
EMP00096,Melissa,Mitchell,Rail,59.43,2019-04-02,Active,emp00096@mta-corp.org
EMP00097,Michelle,Smith,Finance,37.58,2019-07-22,Active,emp00097@mta-corp.org
EMP00098,Carol,Hill,Scheduling,39.93,2023-10-24,Active,emp00098@mta-corp.org
EMP00099,Melissa,Wilson,Engineering,49.97,2019-12-17,On Leave,emp00099@mta-corp.org
EMP00100,Kevin,Garcia,Finance,52.78,2016-11-26,On Leave,emp00100@mta-corp.org
EMP00101,Lisa,Garcia,Legal,81.81,2021-12-11,Active,emp00101@mta-corp.org
EMP00102,Nancy,Anderson,Procurement,31.74,2022-07-18,Active,emp00102@mta-corp.org
EMP00103,Sarah,Walker,Customer Service,75.01,2015-07-09,Active,emp00103@mta-corp.org
EMP00104,Donald,Green,Customer Service,31.43,2020-02-09,On Leave,emp00104@mta-corp.org
EMP00105,Emily,Sanchez,Bus,28.31,2019-04-22,On Leave,emp00105@mta-corp.org
EMP00106,Gary,Roberts,Maintenance,70.26,2015-01-23,Active,emp00106@mta-corp.org
EMP00107,Jason,King,Safety,21.84,2016-12-21,Active,emp00107@mta-corp.org
EMP00108,Jennifer,Robinson,Rail,71.79,2024-07-06,On Leave,emp00108@mta-corp.org
EMP00109,Michelle,Hill,HR,81.68,2020-12-15,Active,emp00109@mta-corp.org
EMP00110,Matthew,Allen,IT,73.73,2021-11-14,Inactive,emp00110@mta-corp.org
EMP00111,Richard,Mitchell,Legal,50.07,2020-01-01,Active,emp00111@mta-corp.org
EMP00112,Sarah,Green,Finance,69.43,2023-06-07,Inactive,emp00112@mta-corp.org
EMP00113,Anthony,Thomas,Finance,47.75,2020-06-07,On Leave,emp00113@mta-corp.org
EMP00114,Sarah,Moore,HR,39.76,2018-03-16,Inactive,emp00114@mta-corp.org
EMP00115,William,Martinez,Bus,43.97,2015-11-27,Active,emp00115@mta-corp.org
EMP00116,Jessica,Jones,IT,45.61,2022-12-03,Inactive,emp00116@mta-corp.org
EMP00117,Donald,Brown,Bus,73.89,2020-03-23,Active,emp00117@mta-corp.org
EMP00118,Carol,Hall,Operations,75.47,2023-08-20,Inactive,emp00118@mta-corp.org
EMP00119,Kenneth,Smith,HR,38.36,2019-04-08,Active,emp00119@mta-corp.org
EMP00120,Donald,Wright,Infrastructure,67.35,2024-07-27,Inactive,emp00120@mta-corp.org
EMP00121,Emily,Anderson,Finance,47.48,2017-06-22,Active,emp00121@mta-corp.org
EMP00122,Lisa,Nelson,Scheduling,71.58,2019-05-12,On Leave,emp00122@mta-corp.org
EMP00123,Ashley,Rodriguez,Customer Service,54.02,2016-11-07,Active,emp00123@mta-corp.org
EMP00124,Brian,Nelson,Operations,24.08,2021-08-21,Active,emp00124@mta-corp.org
EMP00125,Ashley,Lopez,Operations,35.8,2016-07-09,Active,emp00125@mta-corp.org
EMP00126,Ashley,Lee,HR,69.12,2017-05-16,Active,emp00126@mta-corp.org
EMP00127,Gary,Clark,Finance,74.02,2018-02-13,Active,emp00127@mta-corp.org
EMP00128,Stephanie,Wright,Operations,84.99,2015-03-21,Active,emp00128@mta-corp.org
EMP00129,Helen,Jones,Procurement,82.16,2017-07-07,Active,emp00129@mta-corp.org
EMP00130,Maria,Thomas,Bus,74.31,2023-06-17,Inactive,emp00130@mta-corp.org
EMP00131,Sarah,Rodriguez,Safety,63.02,2016-09-16,Inactive,emp00131@mta-corp.org
EMP00132,Ashley,Hall,Finance,69.5,2017-06-11,Active,emp00132@mta-corp.org
EMP00133,Ronald,Mitchell,Infrastructure,26.12,2021-10-17,Active,emp00133@mta-corp.org
EMP00134,Michael,Nguyen,Operations,80.27,2018-06-28,Inactive,emp00134@mta-corp.org
EMP00135,Mark,Sanchez,Infrastructure,31.69,2022-08-06,Inactive,emp00135@mta-corp.org
EMP00136,Anthony,Thomas,Maintenance,64.86,2022-09-29,Active,emp00136@mta-corp.org
EMP00137,Melissa,Hill,Procurement,26.55,2024-07-14,Inactive,emp00137@mta-corp.org
EMP00138,David,Thompson,Engineering,46.99,2023-10-11,Active,emp00138@mta-corp.org
EMP00139,Steven,Adams,HR,19.34,2015-10-10,Active,emp00139@mta-corp.org
EMP00140,Emily,Miller,IT,82.39,2024-03-22,On Leave,emp00140@mta-corp.org
EMP00141,Ashley,Rivera,Rail,47.46,2024-04-17,On Leave,emp00141@mta-corp.org
EMP00142,Helen,Moore,Customer Service,72.25,2020-11-07,Inactive,emp00142@mta-corp.org
EMP00143,Kenneth,Robinson,IT,73.41,2023-09-08,Inactive,emp00143@mta-corp.org
EMP00144,Daniel,Thomas,Legal,80.65,2018-01-04,Active,emp00144@mta-corp.org
EMP00145,George,Thomas,Procurement,49.4,2024-11-20,Inactive,emp00145@mta-corp.org
EMP00146,Mark,Perez,Operations,51.37,2022-06-29,Active,emp00146@mta-corp.org
EMP00147,Emily,Wilson,HR,71.56,2017-01-14,Active,emp00147@mta-corp.org
EMP00148,Ronald,Hall,Finance,55.46,2018-02-19,Inactive,emp00148@mta-corp.org
EMP00149,Patricia,Thomas,Infrastructure,45.53,2017-02-21,Inactive,emp00149@mta-corp.org
EMP00150,Sarah,Hall,Safety,61.45,2023-07-03,Active,emp00150@mta-corp.org
EMP00151,Maria,Garcia,Finance,33.24,2020-01-10,On Leave,emp00151@mta-corp.org
EMP00152,Nancy,Nelson,Customer Service,43.04,2017-09-23,Inactive,emp00152@mta-corp.org
EMP00153,Paul,Ramirez,Infrastructure,55.1,2020-12-14,Active,emp00153@mta-corp.org
EMP00154,Ashley,Moore,Finance,35.22,2022-11-18,Active,emp00154@mta-corp.org
EMP00155,Joseph,Lee,Maintenance,67.9,2023-02-02,On Leave,emp00155@mta-corp.org
EMP00156,Joseph,Wilson,Infrastructure,50.7,2017-01-28,On Leave,emp00156@mta-corp.org
EMP00157,Gary,King,Customer Service,37.32,2021-08-11,Active,emp00157@mta-corp.org
EMP00158,Joseph,Jackson,Bus,42.5,2024-05-03,Active,emp00158@mta-corp.org
EMP00159,Deborah,Wright,Rail,36.74,2015-02-27,Active,emp00159@mta-corp.org
EMP00160,Christopher,Hall,Rail,60.92,2021-03-16,Active,emp00160@mta-corp.org
EMP00161,James,Torres,Finance,49.71,2016-02-25,Active,emp00161@mta-corp.org
EMP00162,Susan,Brown,Finance,81.08,2018-10-27,Active,emp00162@mta-corp.org
EMP00163,Robert,Sanchez,Safety,23.43,2016-04-12,On Leave,emp00163@mta-corp.org
EMP00164,Linda,Martinez,Rail,72.44,2022-09-12,Active,emp00164@mta-corp.org
EMP00165,Sarah,Davis,Engineering,69.34,2015-12-15,Inactive,emp00165@mta-corp.org
EMP00166,Amanda,Anderson,Procurement,53.25,2021-09-07,Active,emp00166@mta-corp.org
EMP00167,Nancy,Nguyen,IT,38.81,2019-12-19,Inactive,emp00167@mta-corp.org
EMP00168,Amanda,Mitchell,Maintenance,81.51,2015-09-04,Active,emp00168@mta-corp.org
EMP00169,Jessica,Taylor,Scheduling,23.9,2022-01-06,Active,emp00169@mta-corp.org
EMP00170,Michelle,Jones,Rail,18.68,2016-12-12,Active,emp00170@mta-corp.org
EMP00171,Ronald,Walker,Finance,20.67,2022-09-24,Active,emp00171@mta-corp.org
EMP00172,Christopher,Hall,Legal,48.69,2022-12-05,On Leave,emp00172@mta-corp.org
EMP00173,Charles,Green,Customer Service,62.47,2017-08-14,Active,emp00173@mta-corp.org
EMP00174,Jennifer,Wright,Bus,61.57,2019-10-08,Active,emp00174@mta-corp.org
EMP00175,Barbara,Jones,Operations,29.53,2024-04-08,Active,emp00175@mta-corp.org
EMP00176,Stephanie,Torres,Finance,47.7,2021-09-03,Active,emp00176@mta-corp.org
EMP00177,Nancy,Hall,IT,81.19,2022-09-21,Inactive,emp00177@mta-corp.org
EMP00178,Emily,Lewis,Maintenance,58.27,2021-01-20,Active,emp00178@mta-corp.org
EMP00179,Daniel,Hill,Finance,20.22,2023-03-28,Active,emp00179@mta-corp.org
EMP00180,Brian,Nguyen,Operations,84.97,2022-07-24,On Leave,emp00180@mta-corp.org
EMP00181,Karen,Torres,Operations,69.25,2024-03-18,Active,emp00181@mta-corp.org
EMP00182,Donna,Adams,Safety,79.42,2020-04-11,Active,emp00182@mta-corp.org
EMP00183,Sandra,Green,Legal,51.2,2021-07-25,Active,emp00183@mta-corp.org
EMP00184,Paul,Clark,HR,39.85,2020-04-09,Active,emp00184@mta-corp.org
EMP00185,Richard,Perez,IT,64.63,2024-08-14,Active,emp00185@mta-corp.org
EMP00186,Dorothy,Carter,Engineering,20.94,2022-06-06,Active,emp00186@mta-corp.org
EMP00187,Charles,Lee,Maintenance,83.02,2018-07-12,Active,emp00187@mta-corp.org
EMP00188,Steven,Smith,Scheduling,76.31,2024-09-12,Active,emp00188@mta-corp.org
EMP00189,Linda,Gonzalez,Engineering,42.56,2019-08-20,Active,emp00189@mta-corp.org
EMP00190,George,Carter,Operations,32.04,2022-01-05,Inactive,emp00190@mta-corp.org
EMP00191,Christopher,Lewis,Infrastructure,50.73,2016-06-20,Active,emp00191@mta-corp.org
EMP00192,Ronald,Thomas,Infrastructure,29.03,2022-01-24,Inactive,emp00192@mta-corp.org
EMP00193,Michelle,Clark,Maintenance,33.44,2015-02-26,Active,emp00193@mta-corp.org
EMP00194,Jennifer,Adams,Legal,28.74,2020-03-05,On Leave,emp00194@mta-corp.org
EMP00195,Steven,Rivera,Finance,46.13,2018-04-10,Active,emp00195@mta-corp.org
EMP00196,Sarah,Robinson,Engineering,28.12,2020-04-18,Active,emp00196@mta-corp.org
EMP00197,Steven,Mitchell,Rail,75.96,2021-09-21,Active,emp00197@mta-corp.org
EMP00198,Donald,Perez,Procurement,52.26,2023-08-31,Active,emp00198@mta-corp.org
EMP00199,Matthew,Martin,Legal,57.53,2018-03-04,On Leave,emp00199@mta-corp.org
EMP00200,Barbara,Lewis,Engineering,50.71,2020-06-28,Active,emp00200@mta-corp.org
EMP00201,Gary,Wright,IT,48.78,2021-03-10,Active,emp00201@mta-corp.org
EMP00202,Joseph,Hall,Bus,56.52,2024-10-01,Active,emp00202@mta-corp.org
EMP00203,Rebecca,Clark,Operations,39.66,2024-08-07,Active,emp00203@mta-corp.org
EMP00204,Mark,Harris,Scheduling,71.19,2022-11-28,On Leave,emp00204@mta-corp.org
EMP00205,Emily,Williams,Rail,51.9,2016-09-15,Inactive,emp00205@mta-corp.org
EMP00206,Michael,Lewis,Maintenance,53.48,2018-09-21,Active,emp00206@mta-corp.org
EMP00207,Matthew,Martinez,IT,76.42,2015-03-04,Active,emp00207@mta-corp.org
EMP00208,Kenneth,Taylor,HR,59.95,2015-11-03,Active,emp00208@mta-corp.org
EMP00209,Patricia,Perez,Legal,63.34,2022-04-15,Inactive,emp00209@mta-corp.org
EMP00210,Daniel,Green,Infrastructure,77.51,2019-04-06,Active,emp00210@mta-corp.org
EMP00211,Edward,Williams,Customer Service,23.05,2024-10-13,On Leave,emp00211@mta-corp.org
EMP00212,Christopher,Anderson,Infrastructure,24.51,2022-09-04,Active,emp00212@mta-corp.org
EMP00213,Anthony,Rivera,Legal,25.18,2023-07-12,Active,emp00213@mta-corp.org
EMP00214,Nancy,Johnson,Operations,40.07,2022-10-13,Active,emp00214@mta-corp.org
EMP00215,Paul,White,IT,28.18,2018-04-16,Inactive,emp00215@mta-corp.org
EMP00216,Brian,Baker,Procurement,30.47,2019-08-15,Active,emp00216@mta-corp.org
EMP00217,Amanda,Harris,Customer Service,63.93,2015-11-20,Active,emp00217@mta-corp.org
EMP00218,Barbara,Anderson,Safety,60.92,2021-07-16,Active,emp00218@mta-corp.org
EMP00219,Kevin,Smith,Procurement,49.44,2017-11-11,Active,emp00219@mta-corp.org
EMP00220,Edward,Hernandez,Maintenance,47.88,2022-08-07,Active,emp00220@mta-corp.org
EMP00221,Nancy,Green,IT,64.41,2021-08-03,Active,emp00221@mta-corp.org
EMP00222,Nancy,Gonzalez,IT,75.25,2024-06-24,Active,emp00222@mta-corp.org
EMP00223,Mark,Torres,HR,56.72,2017-08-29,On Leave,emp00223@mta-corp.org
EMP00224,Maria,Nelson,IT,36.75,2018-04-24,Inactive,emp00224@mta-corp.org
EMP00225,Melissa,Roberts,Infrastructure,83.24,2024-09-13,Inactive,emp00225@mta-corp.org
EMP00226,Emily,Jackson,Procurement,71.62,2023-05-11,Inactive,emp00226@mta-corp.org
EMP00227,Paul,Anderson,Scheduling,31.14,2023-12-29,Active,emp00227@mta-corp.org
EMP00228,Gary,Campbell,Procurement,62.34,2022-08-08,Active,emp00228@mta-corp.org
EMP00229,Michael,Green,Scheduling,21.12,2022-01-17,Active,emp00229@mta-corp.org
EMP00230,Carol,White,Infrastructure,27.24,2015-05-17,Active,emp00230@mta-corp.org
EMP00231,Stephanie,Clark,Rail,31.85,2018-08-31,Inactive,emp00231@mta-corp.org
EMP00232,Betty,King,Engineering,79.25,2024-10-29,Active,emp00232@mta-corp.org
EMP00233,Kenneth,Jackson,Infrastructure,76.38,2017-11-18,Active,emp00233@mta-corp.org
EMP00234,Robert,Martinez,Procurement,82.77,2020-04-02,On Leave,emp00234@mta-corp.org
EMP00235,Melissa,Sanchez,Legal,72.01,2023-02-14,Active,emp00235@mta-corp.org
EMP00236,Dorothy,Smith,Finance,54.18,2016-01-05,Active,emp00236@mta-corp.org
EMP00237,Melissa,Mitchell,Scheduling,35.93,2019-02-18,Active,emp00237@mta-corp.org
EMP00238,Anthony,White,Maintenance,63.38,2024-03-22,Active,emp00238@mta-corp.org
EMP00239,Amanda,Scott,HR,79.36,2015-04-13,Active,emp00239@mta-corp.org
EMP00240,Robert,Green,Legal,49.37,2022-04-06,On Leave,emp00240@mta-corp.org
EMP00241,Helen,Clark,Maintenance,27.8,2018-05-22,Active,emp00241@mta-corp.org
EMP00242,Emily,Davis,Maintenance,34.11,2018-05-31,Inactive,emp00242@mta-corp.org
EMP00243,Mark,Robinson,HR,63.09,2016-07-09,On Leave,emp00243@mta-corp.org
EMP00244,Edward,Clark,Customer Service,67.86,2022-10-23,Active,emp00244@mta-corp.org
EMP00245,Donald,Adams,Maintenance,73.94,2024-12-05,Inactive,emp00245@mta-corp.org
EMP00246,Karen,Williams,Infrastructure,43.14,2019-07-30,Active,emp00246@mta-corp.org
EMP00247,Sarah,White,Maintenance,83.73,2019-12-27,Active,emp00247@mta-corp.org
EMP00248,Helen,Thompson,Operations,44.98,2021-02-08,Active,emp00248@mta-corp.org
EMP00249,Ashley,Garcia,Scheduling,32.61,2016-05-15,On Leave,emp00249@mta-corp.org
EMP00250,Maria,Brown,Procurement,40.68,2021-09-11,Active,emp00250@mta-corp.org
EMP00251,Brian,Wilson,Maintenance,73.68,2023-10-29,Inactive,emp00251@mta-corp.org
EMP00252,Carol,Wilson,Legal,76.33,2017-04-28,Active,emp00252@mta-corp.org
EMP00253,Barbara,Hill,Operations,36.94,2023-09-07,Active,emp00253@mta-corp.org
EMP00254,Edward,Taylor,Procurement,30.1,2016-06-16,On Leave,emp00254@mta-corp.org
EMP00255,Maria,Rodriguez,Operations,42.32,2024-09-18,Active,emp00255@mta-corp.org
EMP00256,Daniel,Johnson,Rail,36.15,2021-08-08,Active,emp00256@mta-corp.org
EMP00257,Donald,King,Maintenance,68.09,2023-04-27,Active,emp00257@mta-corp.org
EMP00258,Rebecca,White,Engineering,57.98,2020-01-11,Active,emp00258@mta-corp.org
EMP00259,Thomas,Flores,Operations,66.86,2020-08-25,On Leave,emp00259@mta-corp.org
EMP00260,Nancy,Robinson,Scheduling,82.61,2020-11-05,Active,emp00260@mta-corp.org
EMP00261,Dorothy,Ramirez,Scheduling,25.68,2020-05-15,On Leave,emp00261@mta-corp.org
EMP00262,Robert,Garcia,HR,58.95,2019-12-22,Active,emp00262@mta-corp.org
EMP00263,Karen,Flores,Scheduling,57.43,2016-05-31,On Leave,emp00263@mta-corp.org
EMP00264,Mark,Hill,Engineering,38.11,2018-08-24,Inactive,emp00264@mta-corp.org
EMP00265,Sandra,Miller,Procurement,65.17,2021-10-15,On Leave,emp00265@mta-corp.org
EMP00266,Rebecca,Scott,Infrastructure,76.06,2022-04-20,Active,emp00266@mta-corp.org
EMP00267,Thomas,Clark,HR,73.52,2020-01-24,Active,emp00267@mta-corp.org
EMP00268,Matthew,Miller,HR,46.88,2019-08-31,On Leave,emp00268@mta-corp.org
EMP00269,Betty,Martinez,Scheduling,79.88,2017-11-10,Active,emp00269@mta-corp.org
EMP00270,Patricia,Garcia,IT,24.92,2016-01-09,On Leave,emp00270@mta-corp.org
EMP00271,William,Scott,Operations,57.5,2019-03-07,Inactive,emp00271@mta-corp.org
EMP00272,Lisa,Nelson,Maintenance,45.82,2021-04-19,On Leave,emp00272@mta-corp.org
EMP00273,Sandra,Campbell,Operations,82.9,2023-06-01,Inactive,emp00273@mta-corp.org
EMP00274,Paul,Miller,Customer Service,52.24,2018-07-03,Active,emp00274@mta-corp.org
EMP00275,Kenneth,Anderson,Legal,25.7,2022-05-13,Inactive,emp00275@mta-corp.org
EMP00276,Jennifer,Carter,Finance,56.68,2019-02-14,Active,emp00276@mta-corp.org
EMP00277,Michelle,Roberts,Legal,59.84,2024-06-23,On Leave,emp00277@mta-corp.org
EMP00278,Michelle,Johnson,Customer Service,80.28,2022-03-17,On Leave,emp00278@mta-corp.org
EMP00279,Maria,Lopez,Finance,65.23,2017-12-31,Active,emp00279@mta-corp.org
EMP00280,Paul,Smith,Rail,76.35,2018-10-23,Inactive,emp00280@mta-corp.org
EMP00281,Dorothy,Jones,Rail,67.77,2022-05-16,Active,emp00281@mta-corp.org
EMP00282,Stephanie,King,Bus,43.52,2016-01-11,Active,emp00282@mta-corp.org
EMP00283,Richard,White,Finance,66.49,2018-10-28,Inactive,emp00283@mta-corp.org
EMP00284,Patricia,Brown,Rail,28.97,2021-09-08,Inactive,emp00284@mta-corp.org
EMP00285,Melissa,Garcia,Finance,47.97,2015-07-23,Active,emp00285@mta-corp.org
EMP00286,Ronald,Lewis,IT,36.67,2020-06-12,Inactive,emp00286@mta-corp.org
EMP00287,Paul,Ramirez,Maintenance,37.34,2016-04-11,On Leave,emp00287@mta-corp.org
EMP00288,Emily,King,Scheduling,39.01,2021-08-26,Active,emp00288@mta-corp.org
EMP00289,Ronald,Brown,Operations,32.09,2019-06-07,Active,emp00289@mta-corp.org
EMP00290,William,Carter,Finance,37.75,2023-08-10,Active,emp00290@mta-corp.org
EMP00291,Emily,Mitchell,IT,30.18,2015-02-01,Active,emp00291@mta-corp.org
EMP00292,Deborah,Anderson,Engineering,55.66,2020-12-21,On Leave,emp00292@mta-corp.org
EMP00293,Paul,Jones,IT,75.81,2024-01-16,Active,emp00293@mta-corp.org
